opinion_id	field	garbled_token	nearest_roster	edit_distance
4455	judges	Burice	bruce	2
4463	judges	Burk	burke	1
4466	judges	Burice	bruce	2
4481	judges	Burkej	burke	1
4481	judges	Bukr	burr	1
4500	judges	Burjke	burke	1
4505	judges	Buke	burke	1
4514	judges	Buer	burr	1
4533	judges	Bure	burke	1
4546	judges	Bure	burke	1
4546	judges	Burice	bruce	2
4553	judges	Burice	bruce	2
4568	judges	Bure	burke	1
4632	judges	Bure	burke	1
4652	judges	Burice	bruce	2
4654	judges	Bure	burke	1
4657	judges	Borke	burke	1
4658	judges	Burice	bruce	2
4662	judges	Bure	burke	1
4662	judges	Burice	bruce	2
4664	judges	Burice	bruce	2
4670	judges	Bure	burke	1
4674	judges	Moreis	morris	1
4677	judges	Burice	bruce	2
4680	judges	Mokris	morris	1
4685	judges	Bure	burke	1
4694	judges	Burice	bruce	2
4703	judges	Buru	burr	1
4709	judges	Burice	bruce	2
4722	judges	Burkk	burke	1
4727	judges	Burice	bruce	2
4732	judges	Bure	burke	1
4733	judges	Bubke	burke	1
4737	judges	Bujrr	burr	1
4740	judges	Burk	burke	1
4742	judges	Burice	bruce	2
4744	judges	Burice	bruce	2
4755	judges	Burice	bruce	2
4756	judges	Burice	bruce	2
4757	judges	Bure	burke	1
4760	judges	Burk	burke	1
4762	judges	Aiorris	morris	2
4764	judges	Bujrr	burr	1
4764	judges	Burice	bruce	2
4793	judges	Bure	burke	1
4795	judges	Sathke	sathre	1
4796	judges	Sature	sathre	1
4798	judges	Sature	sathre	1
4803	judges	Sature	sathre	1
4812	judges	Sature	sathre	1
4813	judges	Sature	sathre	1
4816	judges	Sature	sathre	1
4817	judges	Sature	sathre	1
4820	judges	Sature	sathre	1
4822	judges	Bukr	burr	1
4824	judges	Sature	sathre	1
4826	judges	Sature	sathre	1
4829	judges	Sature	sathre	1
4832	judges	Burk	burke	1
4832	judges	Sature	sathre	1
4835	judges	Bure	burke	1
4838	judges	Sature	sathre	1
4839	judges	Sature	sathre	1
4840	judges	Sature	sathre	1
4847	judges	Sature	sathre	1
4849	judges	Sature	sathre	1
4854	judges	Sature	sathre	1
4856	judges	Sature	sathre	1
4857	judges	Sature	sathre	1
4858	judges	Sature	sathre	1
4861	judges	Sature	sathre	1
4864	judges	Sature	sathre	1
4867	judges	Sature	sathre	1
4869	judges	Sature	sathre	1
4871	judges	Sathke	sathre	1
4873	judges	Sature	sathre	1
4874	judges	Sature	sathre	1
4876	judges	Sature	sathre	1
4879	judges	Sature	sathre	1
4880	judges	Sature	sathre	1
4881	judges	Sature	sathre	1
4882	judges	Sature	sathre	1
4883	judges	Sature	sathre	1
4884	judges	Sature	sathre	1
4887	judges	Sature	sathre	1
4892	judges	Sature	sathre	1
4893	judges	Sature	sathre	1
4901	judges	Moreis	morris	1
4902	judges	Burice	bruce	2
4904	judges	Bubke	burke	1
4913	judges	Burice	bruce	2
4915	judges	Burice	bruce	2
4918	judges	Burice	bruce	2
4922	judges	Burice	bruce	2
4928	judges	Burice	bruce	2
4930	judges	Bure	burke	1
4930	judges	Burice	bruce	2
4936	judges	Burk	burke	1
4939	judges	Burice	bruce	2
4946	judges	Burice	bruce	2
4953	judges	Burice	bruce	2
4957	judges	Buuice	bruce	2
4966	judges	Buree	burke	1
4974	judges	Bure	burke	1
4978	judges	Bukr	burr	1
5001	judges	Hokris	morris	2
5001	judges	Bure	burke	1
5001	judges	Bubke	burke	1
5006	judges	Bure	burke	1
